id,number,enname,form1,form2,form3,form4,form5,type1,type2,hp,attack,defense,spattack,spdefense,speed,krname,imgname
b306ab07-65d1-4908-a775-824e8bc30d6d,017,Pidgeotto,,,,,,Normal,Flying,63,60,55,50,50,71,피죤,pidgeotto.avif
0864995a-722f-4465-8942-3cde76eeddf5,018,Pidgeot,Mega Pidgeot,,,,,Normal,Flying,83,80,75,70,70,101,피죤투,pidgeot.avif
a682e0ac-d38d-41e7-b37f-78e93ff3de53,019,Rattata,Alolan Rattata,,,,,Normal,,30,56,35,25,35,72,꼬렛,rattata.avif
bf6a6628-0aa5-4793-9926-6c2453eca984,020,Raticate,Alolan Raticate,,,,,Normal,,55,81,60,50,70,97,레트라,raticate.avif
6635e75a-a1ca-48fc-a21c-8f07eae9404d,021,Spearow,,,,,,Normal,Flying,40,60,30,31,31,70,깨비참,spearow.avif
c4938528-8ff5-4424-8d4b-27132820f218,022,Fearow,,,,,,Normal,Flying,65,90,65,61,61,100,깨비드릴조,fearow.avif
19d3fd01-2296-40ee-b9a1-23cdafddf7b1,023,Ekans,,,,,,Poison,,35,60,44,40,54,55,아보,ekans.avif
754f6179-8474-4867-b1cb-63daaf0ed8bc,024,Arbok,,,,,,Poison,,60,95,69,65,79,80,아보크,arbok.avif
4e614e34-d306-4166-beb4-1edb45f8c2ec,025,Pikachu,Partner Pikachu,,,,,Electric,,35,55,40,50,50,90,피카츄,pikachu.avif
8c7aa860-4076-4592-b886-5157dc65c63c,026,Raichu,Alolan Raichu,,,,,Electric,,60,90,55,90,80,110,라이츄,raichu.avif
954e057a-b4c7-49aa-82f4-5cafb2ef92f0,027,Sandshrew,Alolan Sandshrew,,,,,Ground,,50,75,85,20,30,40,모래두지,sandshrew.avif
13f503a9-bc1b-4651-a077-9a875c48b574,028,Sandslash,Alolan Sandslash,,,,,Ground,,75,100,110,45,55,65,고지,sandslash.avif
5e312ef1-7a9e-43a0-b29d-9aa3cf6125e9,029,Nidoran♀,,,,,,Poison,,55,47,52,40,40,41,니드런♀,nidoran♀.avif
92de5178-f3b7-49d5-9df8-7b378fa97c34,030,Nidorina,,,,,,Poison,,70,62,67,55,55,56,니드리나,nidorina.avif
2fa861c9-364c-4748-b6b7-ae31ac29491a,031,Nidoqueen,,,,,,Poison,Ground,90,92,87,75,85,76,니드퀸,nidoqueen.avif
3fc4521d-0517-4a73-ab91-6a6bd56933ab,032,Nidoran♂,,,,,,Poison,,46,57,40,40,40,50,니드런♂,nidoran♂.avif
40fcfcb3-ef41-4fdb-9875-9a73d27139d9,033,Nidorino,,,,,,Poison,,61,72,57,55,55,65,니드리노,nidorino.avif
2eb1045c-813f-490f-abf3-2ffb3ead8b39,034,Nidoking,,,,,,Poison,Ground,81,102,77,85,75,85,니드킹,nidoking.avif
cb08a4e2-7b9e-461b-90ad-b4b312a3d56d,035,Clefairy,,,,,,Fairy,,70,45,48,60,65,35,삐삐,clefairy.avif
6c6c850d-1b4d-4c1d-8625-0eabffda07fb,036,Clefable,,,,,,Fairy,,95,70,73,95,90,60,픽시,clefable.avif
f20a6612-a85d-4c62-a6a2-ec1bffdeb151,037,Vulpix,Alolan Vulpix,,,,,Fire,,38,41,40,50,65,65,식스테일,vulpix.avif
783bdcef-5ffd-466f-85a6-2738071910d2,038,Ninetales,Alolan Ninetales,,,,,Fire,,73,76,75,81,100,100,나인테일,ninetales.avif
79e4e805-df69-4852-ad0c-6565239058cf,039,Jigglypuff,,,,,,Normal,Fairy,115,45,20,45,25,20,푸린,jigglypuff.avif
16ea00d4-289a-4d59-8f43-7798a90d431a,040,Wigglytuff,,,,,,Normal,Fairy,140,70,45,85,50,45,푸크린,wigglytuff.avif
57a8b4af-5a28-4ebe-b916-0127b13b0cfa,041,Zubat,,,,,,Poison,Flying,40,45,35,30,40,55,주뱃,zubat.avif
568ce261-f04d-40f9-b766-086465b457ac,042,Golbat,,,,,,Poison,Flying,75,80,70,65,75,90,골뱃,golbat.avif
a486abd8-ff40-433c-93f1-370e34c90a6a,043,Oddish,,,,,,Grass,Poison,45,50,55,75,65,30,뚜벅쵸,oddish.avif
d61abf40-4e98-4023-a122-7f968b58d032,044,Gloom,,,,,,Grass,Poison,60,65,70,85,75,40,냄새꼬,gloom.avif
70d356e6-162c-461b-99e6-9e17fc166692,045,Vileplume,,,,,,Grass,Poison,75,80,85,110,90,50,라플레시아,vileplume.avif
ec649cbc-20ba-41da-b2f9-c33daa47b9eb,046,Paras,,,,,,Bug,Grass,35,70,55,45,55,25,파라스,paras.avif
afb10a6c-f34c-4e94-acdb-93800b3bad5b,047,Parasect,,,,,,Bug,Grass,60,95,80,60,80,30,파라섹트,parasect.avif
19a5e116-f33f-4c86-a35c-b5d378d0482b,048,Venonat,,,,,,Bug,Poison,60,55,50,40,55,45,콘팡,venonat.avif
003687e6-f622-4b4a-a481-5fe0107fa14f,049,Venomoth,,,,,,Bug,Poison,70,65,60,90,75,90,도나리,venomoth.avif
fe0cce26-4a43-410d-a375-745151d86427,050,Diglett,Alolan Diglett,,,,,Ground,,10,55,25,35,45,95,디그다,diglett.avif
497c7433-899e-4ba8-9542-c296dcb6fb95,051,Dugtrio,Alolan Dugtrio,,,,,Ground,,35,100,50,50,70,120,닥트리오,dugtrio.avif
3455ddd2-d10d-47c4-81e2-655db84655f7,052,Meowth,Alolan Meowth,Galarian Meowth,,,,Normal,,40,45,35,40,40,90,나옹,meowth.avif
601850e5-25b9-4458-a308-416c699882ce,053,Persian,Alolan Persian,,,,,Normal,,65,70,60,65,65,115,페르시온,persian.avif
7195a5c0-6d21-4db3-9af5-a05bb84c867c,054,Psyduck,,,,,,Water,,50,52,48,65,50,55,고라파덕,psyduck.avif
e8b352a2-a7c0-4796-bf38-b438d1bdc2e1,055,Golduck,,,,,,Water,,80,82,78,95,80,85,골덕,golduck.avif
d0bd0456-25c4-4c60-9dbc-c25ef2ec9ab2,056,Mankey,,,,,,Fighting,,40,80,35,35,45,70,망키,mankey.avif
d910676a-760f-46fc-8936-37cb80067329,057,Primeape,,,,,,Fighting,,65,105,60,60,70,95,성원숭,primeape.avif
b45d669d-229b-4e66-8545-6cf278fa3cae,058,Growlithe,Hisuian Growlithe,,,,,Fire,,55,70,45,70,50,60,가디,growlithe.avif
9a4ac4df-87b9-4001-8998-a3660a71bada,059,Arcanine,Hisuian Arcanine,,,,,Fire,,90,110,80,100,80,95,윈디,arcanine.avif
5ca35f0d-7730-46ba-95a7-a3ff0f9bdad0,060,Poliwag,,,,,,Water,,40,50,40,40,40,90,발챙이,poliwag.avif
db99588f-f966-4893-b7d8-5502fb47af35,061,Poliwhirl,,,,,,Water,,65,65,65,50,50,90,슈륙챙이,poliwhirl.avif
896c7825-901d-4b25-9900-c5117337524d,062,Poliwrath,,,,,,Water,Fighting,90,95,95,70,90,70,강챙이,poliwrath.avif
69355d07-3f33-4e4f-a6eb-616cc02f53e4,063,Abra,,,,,,Psychic,,25,20,15,105,55,90,캐이시,abra.avif
2c74b69b-ea8f-4385-a0e6-0a5cd6cf085f,064,Kadabra,,,,,,Psychic,,40,35,30,120,70,105,윤겔라,kadabra.avif
0fdf8125-49f4-4fd0-bbfc-a44dc7173f31,065,Alakazam,Mega Alakazam,,,,,Psychic,,55,50,45,135,95,120,후딘,alakazam.avif
fc08bec1-4824-4345-a741-a7515cc6b7c6,066,Machop,,,,,,Fighting,,70,80,50,35,35,35,알통몬,machop.avif
979ccf91-1386-43e3-9457-e1197846baf6,067,Machoke,,,,,,Fighting,,80,100,70,50,60,45,근육몬,machoke.avif
191616aa-4258-4f03-879f-59a94c4e83b3,068,Machamp,,,,,,Fighting,,90,130,80,65,85,55,괴력몬,machamp.avif
1316df67-d57f-46c9-af09-094f5cd64aad,069,Bellsprout,,,,,,Grass,Poison,50,75,35,70,30,40,모다피,bellsprout.avif
91042b87-35c6-405a-bf02-750bef467c28,070,Weepinbell,,,,,,Grass,Poison,65,90,50,85,45,55,우츠동,weepinbell.avif
13332a66-349b-4d61-accd-5f615092bb37,071,Victreebel,,,,,,Grass,Poison,80,105,65,100,70,70,우츠보트,victreebel.avif
63ea523b-c347-4e22-8227-12e5fdee1108,072,Tentacool,,,,,,Water,Poison,40,40,35,50,100,70,왕눈해,tentacool.avif
9a22c91e-b499-4dd9-981a-dced301227c0,073,Tentacruel,,,,,,Water,Poison,80,70,65,80,120,100,독파리,tentacruel.avif
aa9ac17d-2852-4084-acc2-04d0bc1cfe67,074,Geodude,Alolan Geodude,,,,,Rock,Ground,40,80,100,30,30,20,꼬마돌,geodude.avif
68786ca1-9ce6-4b7b-af5b-8f97c447c56e,075,Graveler,Alolan Graveler,,,,,Rock,Ground,55,95,115,45,45,35,데구리,graveler.avif
75bece15-c882-4a98-9da1-e238a596d30c,076,Golem,Alolan Golem,,,,,Rock,Ground,80,120,130,55,65,45,딱구리,golem.avif
4a6de970-5712-4a9b-9235-3e3b902aa383,077,Ponyta,Galarian Ponyta,,,,,Fire,,50,85,55,65,65,90,포니타,ponyta.avif
2b492a55-1a05-48b7-b321-d38ed0c67459,078,Rapidash,Galarian Rapidash,,,,,Fire,,65,100,70,80,80,105,날쌩마,rapidash.avif
dd8d0e30-05dd-497a-8308-1b70d40f167c,079,Slowpoke,Galarian Slowpoke,,,,,Water,Psychic,90,65,65,40,40,15,야돈,slowpoke.avif
74d626c7-fe5c-439f-9755-a9aad7aa196b,080,Slowbro,Mega Slowbro,Galarian Slowbro,,,,Water,Psychic,95,75,110,100,80,30,야도란,slowbro.avif
d2c91f9f-dba6-4790-832d-c5acf77cb62d,081,Magnemite,,,,,,Electric,Steel,25,35,70,95,55,45,코일,magnemite.avif
47e48fe8-ce14-41bd-ab74-5e138f19bb65,082,Magneton,,,,,,Electric,Steel,50,60,95,120,70,70,레어코일,magneton.avif
b6c261ce-c654-41ed-862c-0128d6bdfdf2,083,Farfetch'd,Galarian Farfetch'd,,,,,Normal,Flying,52,90,55,58,62,60,파오리,farfetchd.avif
8ae5f35e-73f2-43be-bb38-4a7752878e50,084,Doduo,,,,,,Normal,Flying,35,85,45,35,35,75,두두,doduo.avif
768a9f5d-48e2-4838-be1c-1be94715b89d,085,Dodrio,,,,,,Normal,Flying,60,110,70,60,60,110,두트리오,dodrio.avif
d5cceb3a-b063-4698-a963-7d71e5a0d6de,086,Seel,,,,,,Water,,65,45,55,45,70,45,쥬쥬,seel.avif
6decba43-0c64-4ba0-8cee-160e816a7494,087,Dewgong,,,,,,Water,Ice,90,70,80,70,95,70,쥬레곤,dewgong.avif
32ad5eb8-6fe4-4880-ba5f-777bf07405f1,088,Grimer,Alolan Grimer,,,,,Poison,,80,80,50,40,50,25,질퍽이,grimer.avif
7254e923-bdec-4178-a0b3-47ea96df9597,089,Muk,Alolan Muk,,,,,Poison,,105,105,75,65,100,50,질뻐기,muk.avif
6bc69a8f-c06c-4caf-9e3e-32b190bd9b52,090,Shellder,,,,,,Water,,30,65,100,45,25,40,셀러,shellder.avif
fed8a1a2-29cf-4e56-9db9-83cfe2d5ead1,091,Cloyster,,,,,,Water,Ice,50,95,180,85,45,70,파르셀,cloyster.avif
b48c1352-971d-4dbb-8416-b7e1c2dfc27f,092,Gastly,,,,,,Ghost,Poison,30,35,30,100,35,80,고오스,gastly.avif
01e1aff8-8f76-4e70-a374-3d9e2803be46,093,Haunter,,,,,,Ghost,Poison,45,50,45,115,55,95,고우스트,haunter.avif
035f6f68-1ac0-43c0-8fb5-d10cfdc1a58b,094,Gengar,Mega Gengar,,,,,Ghost,Poison,60,65,60,130,75,110,팬텀,gengar.avif
94300313-10d0-40b9-91e6-4695c5baf575,095,Onix,,,,,,Rock,Ground,35,45,160,30,45,70,롱스톤,onix.avif
e7836a8d-49ee-4cf5-8c71-f19758ad402d,096,Drowzee,,,,,,Psychic,,60,48,45,43,90,42,슬리프,drowzee.avif
83fd7dd7-8174-460f-a428-5f6f4f843e19,097,Hypno,,,,,,Psychic,,85,73,70,73,115,67,슬리퍼,hypno.avif
0f411925-05f4-41df-b32e-d387bda028d7,098,Krabby,,,,,,Water,,30,105,90,25,25,50,크랩,krabby.avif
ddb97237-0150-475f-848e-36915069817f,099,Kingler,,,,,,Water,,55,130,115,50,50,75,킹크랩,kingler.avif
90a55529-ea0b-4785-a513-d64f3ecc0a4a,100,Voltorb,Hisuian Voltorb,,,,,Electric,,40,30,50,55,55,100,찌리리공,voltorb.avif
8f62a7ba-d30b-490f-95de-d07926f5b59c,101,Electrode,Hisuian Electrode,,,,,Electric,,60,50,70,80,80,150,붐볼,electrode.avif
87135b9c-bf38-4be4-a3d8-643b7cbcec36,102,Exeggcute,,,,,,Grass,Psychic,60,40,80,60,45,40,아라리,exeggcute.avif
4a4abb98-52d7-4eb3-8b52-3b44f76b5f30,103,Exeggutor,Alolan Exeggutor,,,,,Grass,Psychic,95,95,85,125,75,55,나시,exeggutor.avif
301e557b-b8b7-4851-b745-e3b3142d9af1,104,Cubone,,,,,,Ground,,50,50,95,40,50,35,탕구리,cubone.avif
ec89e08d-f3f9-40bb-8553-9ca99361963a,105,Marowak,Alolan Marowak,,,,,Ground,,60,80,110,50,80,45,텅구리,marowak.avif
1674d847-d442-4817-abed-92417a5703f7,106,Hitmonlee,,,,,,Fighting,,50,120,53,35,110,87,시라소몬,hitmonlee.avif
18d6c69b-c045-4348-bdc2-6201fc7297d6,107,Hitmonchan,,,,,,Fighting,,50,105,79,35,110,76,홍수몬,hitmonchan.avif
aa666a78-2bf5-4e39-ad4a-483a793e31c0,108,Lickitung,,,,,,Normal,,90,55,75,60,75,30,내루미,lickitung.avif
f183f0bb-a483-428f-9a0d-f94df37e82f3,109,Koffing,,,,,,Poison,,40,65,95,60,45,35,또가스,koffing.avif
a158b837-8f13-4fd4-a3c8-76f2b5ef33c8,110,Weezing,Galarian Weezing,,,,,Poison,,65,90,120,85,70,60,또도가스,weezing.avif
ebbb7c2f-1093-4f34-93f4-0b8d9d9e25f1,111,Rhyhorn,,,,,,Ground,Rock,80,85,95,30,30,25,뿔카노,rhyhorn.avif
1a940c5a-6f2a-400a-a649-97d3d3b5a47a,112,Rhydon,,,,,,Ground,Rock,105,130,120,45,45,40,코뿌리,rhydon.avif
fdef4951-dca5-495d-b600-468565e0fa0a,113,Chansey,,,,,,Normal,,250,5,5,35,105,50,럭키,chansey.avif
7cdc27b6-c8ee-4c49-8e89-c11ec452e09c,114,Tangela,,,,,,Grass,,65,55,115,100,40,60,덩쿠리,tangela.avif
22693ba1-e6c3-4371-a196-8162f60f1470,115,Kangaskhan,Mega Kangaskhan,,,,,Normal,,105,95,80,40,80,90,캥카,kangaskhan.avif
8a320bb2-d69a-4135-a42e-cb7cfb136142,116,Horsea,,,,,,Water,,30,40,70,70,25,60,쏘드라,horsea.avif
41200a9e-2634-41f3-a3b7-6c8155c074f1,117,Seadra,,,,,,Water,,55,65,95,95,45,85,시드라,seadra.avif
aae0440d-c0e8-40b3-aeb7-5c0b4e1846a7,118,Goldeen,,,,,,Water,,45,67,60,35,50,63,콘치,goldeen.avif
b0d5e2a3-730b-4002-9fc2-4e6e337f3dfb,119,Seaking,,,,,,Water,,80,92,65,65,80,68,왕콘치,seaking.avif
b9afb1ef-84e0-44e2-a241-1a89a9362e79,120,Staryu,,,,,,Water,,30,45,55,70,55,85,별가사리,staryu.avif
0f9db660-abdd-4040-850a-235729c3f211,121,Starmie,,,,,,Water,Psychic,60,75,85,100,85,115,아쿠스타,starmie.avif
b930926b-86e7-4f84-829c-183d7d77237d,122,Mr. Mime,Galarian Mr. Mime,,,,,Psychic,Fairy,40,45,65,100,120,90,마임맨,mrmime.avif
75f6ebe6-0702-4eb9-be66-c1f9bf1262a0,123,Scyther,,,,,,Bug,Flying,70,110,80,55,80,105,스라크,scyther.avif
d1f4be64-c52d-4639-90f1-63a5a7ea44ed,124,Jynx,,,,,,Ice,Psychic,65,50,35,115,95,95,루주라,jynx.avif
83d3574d-8d6b-4a58-9286-769b69b6c777,125,Electabuzz,,,,,,Electric,,65,83,57,95,85,105,에레브,electabuzz.avif
d589954b-d4d8-4cfd-a806-e270df9fe2ee,126,Magmar,,,,,,Fire,,65,95,57,100,85,93,마그마,magmar.avif
d782dc00-26a7-4805-ac2f-e948e46035bf,127,Pinsir,Mega Pinsir,,,,,Bug,,65,125,100,55,70,85,쁘사이저,pinsir.avif
7563ce20-4b56-4298-b117-76d62303c1c4,128,Tauros,Combat Breed,Blaze Breed,Aqua Breed,,,Normal,,75,100,95,40,70,110,켄타로스,tauros.avif
0d9a42f7-7983-4407-b612-df5b13f7cd86,129,Magikarp,,,,,,Water,,20,10,55,15,20,80,잉어킹,magikarp.avif
7d70c1f0-3890-40ff-a470-3537a6895ce2,130,Gyarados,Mega Gyarados,,,,,Water,Flying,95,125,79,60,100,81,갸라도스,gyarados.avif
16f077c3-3b93-46ef-a893-4698acdfb951,131,Lapras,,,,,,Water,Ice,130,85,80,85,95,60,라프라스,lapras.avif
6f396ba3-118d-43de-9b97-f6c1a08866d8,132,Ditto,,,,,,Normal,,48,48,48,48,48,48,메타몽,ditto.avif
fd023dcc-7040-4abd-abb1-9917df236e88,133,Eevee,Partner Eevee,,,,,Normal,,55,55,50,45,65,55,이브이,eevee.avif
d5242dc2-52f4-4def-a4d4-32b3b5774777,134,Vaporeon,,,,,,Water,,130,65,60,110,95,65,샤미드,vaporeon.avif
919ff7d3-33bd-4143-92f8-4e8e3fb3de01,135,Jolteon,,,,,,Electric,,65,65,60,110,95,130,쥬피썬더,jolteon.avif
7f05d451-1585-406f-b65b-4e544fbbecc1,136,Flareon,,,,,,Fire,,65,130,60,95,110,65,부스터,flareon.avif
e06f9574-652d-494d-9fad-fb5ae1b453a7,137,Porygon,,,,,,Normal,,65,60,70,85,75,40,폴리곤,porygon.avif
bb147c75-dc78-49cc-b29e-bc1003f2423c,138,Omanyte,,,,,,Rock,Water,35,40,100,90,55,35,암나이트,omanyte.avif
61bf55e2-c36c-4945-932b-9cd5cd454b3d,139,Omastar,,,,,,Rock,Water,70,60,125,115,70,55,암스타,omastar.avif
698862e7-7db9-41a8-9fae-c40996784d2b,140,Kabuto,,,,,,Rock,Water,30,80,90,55,45,55,투구,kabuto.avif
ad496ce2-e2bb-4877-8511-30f7966b558e,141,Kabutops,,,,,,Rock,Water,60,115,105,65,70,80,투구푸스,kabutops.avif
43fcdaf5-e820-4a27-b325-c64e1f3f9dfd,142,Aerodactyl,Mega Aerodactyl,,,,,Rock,Flying,80,105,65,60,75,130,프테라,aerodactyl.avif
9848a85d-b069-4482-8c32-cab5567399b9,143,Snorlax,,,,,,Normal,,160,110,65,65,110,30,잠만보,snorlax.avif
acd501ef-810d-422a-b7b2-249b331502e8,144,Articuno,Galarian Articuno,,,,,Ice,Flying,90,85,100,95,125,85,프리져,articuno.avif
f9bd458a-e8e4-41ee-a886-4ee9b6b4c7f9,145,Zapdos,Galarian Zapdos,,,,,Electric,Flying,90,90,85,125,90,100,썬더,zapdos.avif
190fbd09-d065-4b1b-a41a-be93f95dddd4,146,Moltres,Galarian Moltres,,,,,Fire,Flying,90,100,90,125,85,90,파이어,moltres.avif
a428125d-df6f-4e4e-b276-4b15014bab73,147,Dratini,,,,,,Dragon,,41,64,45,50,50,50,미뇽,dratini.avif
9cca9ee4-03aa-485a-889a-65ac43c405f9,148,Dragonair,,,,,,Dragon,,61,84,65,70,70,70,신뇽,dragonair.avif
da645c74-97ec-4594-92c9-df1f44c84dcd,149,Dragonite,,,,,,Dragon,Flying,91,134,95,100,100,80,망나뇽,dragonite.avif
85679161-1927-4be8-a805-40b9b32d38ad,150,Mewtwo,Mega Mewtwo X,Mega Mewtwo Y,,,,Psychic,,106,110,90,154,90,130,뮤츠,mewtwo.avif
d818d86b-e687-498d-9571-c74182e7128a,151,Mew,,,,,,Psychic,,100,100,100,100,100,100,뮤,mew.avif
65a753bf-e306-4e27-bd54-dc0a80cce0a3,152,Chikorita,,,,,,Grass,,45,49,65,49,65,45,치코리타,chikorita.avif
49b24432-ea43-4185-82bf-34a53f3460f9,153,Bayleef,,,,,,Grass,,60,62,80,63,80,60,베이리프,bayleef.avif
163ed693-2f45-4537-a330-88c2b60fdca8,154,Meganium,,,,,,Grass,,80,82,100,83,100,80,메가니움,meganium.avif
eaa681e3-2b56-4911-843e-10e0629bcc84,155,Cyndaquil,,,,,,Fire,,39,52,43,60,50,65,브케인,cyndaquil.avif
25bac9b5-5153-4208-be97-2e2aa29fcc86,156,Quilava,,,,,,Fire,,58,64,58,80,65,80,마그케인,quilava.avif
31335866-e50f-457b-bcf8-2a2d69228783,157,Typhlosion,Hisuian Typhlosion,,,,,Fire,,78,84,78,109,85,100,블레이범,typhlosion.avif
a132d3df-a79a-439d-9db5-f16d7780c8a6,158,Totodile,,,,,,Water,,50,65,64,44,48,43,리아코,totodile.avif
4a7238a4-30f6-4bf1-ab68-b36e1ed70674,159,Croconaw,,,,,,Water,,65,80,80,59,63,58,엘리게이,croconaw.avif
a7252404-94b3-4420-9688-aa88cca5b1c2,160,Feraligatr,,,,,,Water,,85,105,100,79,83,78,장크로다일,feraligatr.avif
6deb6d98-b0a5-4f63-a34a-694c0311c42d,161,Sentret,,,,,,Normal,,35,46,34,35,45,20,꼬리선,sentret.avif
48807683-f22f-46a0-85d2-90f0cb646670,162,Furret,,,,,,Normal,,85,76,64,45,55,90,다꼬리,furret.avif
03e05083-3a7f-48ce-bd51-5285a9e82a09,163,Hoothoot,,,,,,Normal,Flying,60,30,30,36,56,50,부우부,hoothoot.avif
8396ba24-bcee-493b-a252-f2c4ed85396b,164,Noctowl,,,,,,Normal,Flying,100,50,50,86,96,70,야부엉,noctowl.avif
9b27f76b-6b13-4c70-a9e6-b648cb78f246,165,Ledyba,,,,,,Bug,Flying,40,20,30,40,80,55,레디바,ledyba.avif
33f03cea-cfa8-4f3e-9663-609270792416,166,Ledian,,,,,,Bug,Flying,55,35,50,55,110,85,레디안,ledian.avif
6440c013-ee55-4ef3-9d3b-d1efe75d1ead,167,Spinarak,,,,,,Bug,Poison,40,60,40,40,40,30,페이검,spinarak.avif
0d5792da-5b5d-4a00-8658-860097dcc4b4,168,Ariados,,,,,,Bug,Poison,70,90,70,60,70,40,아리아도스,ariados.avif
0b29bd39-67e7-42f6-bb76-67c71559cacf,169,Crobat,,,,,,Poison,Flying,85,90,80,70,80,130,크로뱃,crobat.avif
a1c8dd35-f36e-489b-8827-58af88702102,170,Chinchou,,,,,,Water,Electric,75,38,38,56,56,67,초라기,chinchou.avif
de270a2f-5b35-47f6-a8c8-4f01dcb47a87,171,Lanturn,,,,,,Water,Electric,125,58,58,76,76,67,랜턴,lanturn.avif
0b796b9c-77d1-4584-921a-68ed5fd03442,172,Pichu,,,,,,Electric,,20,40,15,35,35,60,피츄,pichu.avif
9edfef34-3f63-48b1-979c-153f867aba14,173,Cleffa,,,,,,Fairy,,50,25,28,45,55,15,삐,cleffa.avif
c4999a5f-1ce4-431b-8167-84699145c2f3,174,Igglybuff,,,,,,Normal,Fairy,90,30,15,40,20,15,푸푸린,igglybuff.avif
7accb4a0-1cd5-4105-ade8-56bf3caa047e,175,Togepi,,,,,,Fairy,,35,20,65,40,65,20,토게피,togepi.avif
6f4b8ab1-6750-46de-b141-2cddec301067,176,Togetic,,,,,,Fairy,Flying,55,40,85,80,105,40,토게틱,togetic.avif
699b69ae-4d99-49b9-bd6f-694dd31494c3,177,Natu,,,,,,Psychic,Flying,40,50,45,70,45,70,네이티,natu.avif
d6c063a3-9170-4ae9-8797-d2abbe4bfb5c,178,Xatu,,,,,,Psychic,Flying,65,75,70,95,70,95,네이티오,xatu.avif
d94ab73a-266b-43b2-a1a0-f433a602c975,179,Mareep,,,,,,Electric,,55,40,40,65,45,35,메리프,mareep.avif
f96822b1-11ec-48e6-8981-82413017d326,180,Flaaffy,,,,,,Electric,,70,55,55,80,60,45,보송송,flaaffy.avif
5732ba87-667c-49bb-ac79-563ec893a9d8,181,Ampharos,Mega Ampharos,,,,,Electric,,90,75,85,115,90,55,전룡,ampharos.avif
1b24f1b9-0611-4a6e-835f-34b4e304e94d,182,Bellossom,,,,,,Grass,,75,80,95,90,100,50,아르코,bellossom.avif
d132a09f-6308-4108-97fa-bdff0e68d49d,183,Marill,,,,,,Water,Fairy,70,20,50,20,50,40,마릴,marill.avif
394d79d0-36a2-4a6e-b5f4-77449e9ac228,184,Azumarill,,,,,,Water,Fairy,100,50,80,60,80,50,마릴리,azumarill.avif
3ac80741-d1cb-4d2a-b9d2-1780e5f910c2,185,Sudowoodo,,,,,,Rock,,70,100,115,30,65,30,꼬지모,sudowoodo.avif
2e26b58c-d2dd-4171-bdba-15e3a415dde8,186,Politoed,,,,,,Water,,90,75,75,90,100,70,왕구리,politoed.avif
248868e6-0a1b-451f-be5f-05b4a9c632d0,187,Hoppip,,,,,,Grass,Flying,35,35,40,35,55,50,통통코,hoppip.avif
a8df1223-9073-4cc1-9a55-eca53f512322,188,Skiploom,,,,,,Grass,Flying,55,45,50,45,65,80,두코,skiploom.avif
06f7a05d-22c4-46d2-8724-a9e6028ac886,189,Jumpluff,,,,,,Grass,Flying,75,55,70,55,95,110,솜솜코,jumpluff.avif
93684bd5-a8a0-47a1-b36a-4ce199349837,190,Aipom,,,,,,Normal,,55,70,55,40,55,85,에이팜,aipom.avif
